"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U6";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AD8226";;;
2;"C23,C25,C24";"C_0603_1608Metric";3;"1 μF";;;
3;"C14";"C_0603_1608Metric";1;"4.7uF";;;
4;"C27,C28,C26";"C_0805_2012Metric";3;"10 μF";;;
5;"C21,C20,C19";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"1 uF";;;
6;"U4";"QFP50P900X900X120-48N";1;"ATSAMD21G18A-AUT";;;
7;"R8,R15,R14,R4";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"10 kΩ";;;
8;"C5,C4,C3,C2,C1";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";5;"100 nF";;;
9;"Y1";"Crystal_SMD_MicroCrystal_CC4V-T1A-2Pin_5.0x1.9mm";1;"FX255_32.768kHz";;;
10;"C10,C6,C8,C7,C9";"C_0402_1005Metric";5;"100 nF";;;
11;"L2";"L_Coilcraft_XxL4020";1;"XFL4020-472MEC";;;
12;"U5";"SOT-363_SC-70-6";1;"TPS61222";;;
13;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"OPA4354";;;
14;"R17";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"15 kΩ";;;
15;"R16,R10";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"1 kΩ";;;
16;"R3,R1";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"20 kΩ";;;
17;"C22";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1 μF";;;
18;"U7";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SP3075";;;
19;"U3";"SOT-323_SC-70_Handsoldering";1;"MAX7375AXR105";;;
20;"U1";"SOIC-8_5.275x5.275mm_P1.27mm";1;"SA612AD";;;
21;"R13";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"100 Ω";;;
22;"R12";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"200 Ω";;;
23;"R11";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"500 kΩ";;;
24;"R9,R7";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"330 Ω";;;
25;"R6";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"2.8 MΩ";;;
26;"R5";"R_0603_1608Metric";1;"1 kΩ";;;
27;"R2";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"3.3 kΩ";;;
28;"L1";"C_0603_1608Metric";1;"BLM18PG471SN1D";;;
29;"J3,J2";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02";;;
30;"C22";"C_0805_2012Metric";1;"2.2 μF";;;
31;"C15,C16,C17";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"330 pF";;;
32;"C18";"C_0805_2012Metric";1;"3.3 μF";;;
33;"C12,C13";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"18 pF";;;
34;"C11";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"22 nF";;;
35;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
36;"LS2";"PinHeader_1x02_P2.54mm_Vertical";1;"Emmiter";;;
37;"J7";"PinSocket_1x01_P2.54mm_Vertical";1;"Reciever";;;
38;"LS1";"PinHeader_1x02_P2.54mm_Vertical";1;"Receiver";;;
